Ticker,ESG Risk Score,G Score,E Score,S Score
2607.HK,16.38,6.93,3.34,6.1
2628.HK,25.41,12.74,2.21,10.46
2638.HK,24.82,6.38,10.88,7.56
2688.HK,26.68,7.71,8.94,10.04
2689.HK,30.61,5.41,17.36,7.83
2727.HK,27.54,9.89,9.09,8.56
2799.HK,36.92,19.14,3.17,14.61
2866.HK,23.71,6.86,10.68,6.17
2883.HK,26.3,9.75,9.52,7.04
2888.HK,25.72,9.8,0.96,14.96
2899.HK,43.06,9.15,17.14,16.76
3311.HK,37.8,14.52,9.18,14.1
3328.HK,32.38,16.83,2.37,13.18
3618.HK,26.75,12.89,1.89,11.97
3898.HK,29.96,8.95,8.67,12.33
3968.HK,29.78,14.44,1.97,13.36
3988.HK,29.05,12.08,2.43,14.54
6030.HK,29.8,14.8,2.06,12.93
6808.HK,25.64,6.43,9.0,10.22
6818.HK,32.0,15.66,2.37,13.97
6823.HK,25.8,7.69,6.58,11.53
6837.HK,29.13,14.82,2.38,11.93
6881.HK,30.4,15.03,2.38,12.99
6886.HK,27.02,13.23,2.29,11.5
9618.HK,25.36,8.19,7.14,10.04
9888.HK,20.08,7.8,3.09,9.19
9901.HK,15.04,6.53,0.11,8.41
9961.HK,23.53,8.64,4.46,10.43
9988.HK,26.53,11.98,2.97,11.59
9999.HK,17.74,6.6,0.11,11.03
